,Category,top10,top10_scores
185,fault tolerance,"['filipe veiga', 'paulo costa', 'zhi tian', 'nathalia peixoto', 'mohamed ibrahem', 'maryam parsa', 'ilhan izmirli', 'robert simon', 'gregory stein', 'jyh ming lien']","[0.04283529368781193, 0.040262562778584934, 0.039298874594592956, 0.03651483716701107, 0.03651483716701107, 0.0359597476114038, 0.029970044925131008, 0.02752409412815901, 0.026475169110682796, 0.023186944788008413]"
186,cyber physical systems,"['pei dong', 'maryam parsa', 'pilgyu kang', 'md tanvir arafin', 'david lattanzi', 'gregory stein', 'paulo costa', 'shima mohebbi', 'ilhan izmirli', 'jill nelson']","[0.09060328484045485, 0.08763704002132351, 0.07443873683187767, 0.06881023532039755, 0.05053341616328513, 0.046087353798183586, 0.04205287530759117, 0.04205287530759117, 0.04173692135563012, 0.040291148201269014]"
187,real time embedded systems,"['david lattanzi', 'ilhan izmirli', 'filipe veiga', 'gregory stein', 'peggy brouse', 'kenneth pasiah', 'david binning', 'zoran duric', 'shima mohebbi', 'quentin sanders']","[0.19035248837044755, 0.1553154697681423, 0.15403233766028368, 0.1428039300182319, 0.12709101179722374, 0.12257250094511374, 0.1077144550423234, 0.10443198872211705, 0.1021983530987859, 0.09512229553402804]"
188,computer systems,"['md tanvir arafin', 'filipe veiga', 'david lattanzi', 'mohamed ibrahem', 'jill nelson', 'maryam parsa', 'sai manoj pudukotai dinakarrao', 'pilgyu kang', 'gregory stein', 'jyh ming lien']","[0.09165444688834581, 0.07945756717739365, 0.06730993269037021, 0.06350006350009525, 0.05366734884263648, 0.050027800947380255, 0.049873528350813, 0.04957577328158356, 0.049110262753807025, 0.04838709677419356]"
189,internet of things,"['lap fai craig yu', 'mohamed ibrahem', 'zhi tian', 'robert simon', 'hoda hassan', 'kuochu chang', 'md tanvir arafin', 'zoran duric', 'omoche cheche agada', 'filipe veiga']","[0.23145502494313788, 0.14699368305183338, 0.1294372392198475, 0.12087344460380703, 0.10130511230913847, 0.09176987139073335, 0.07715167498104596, 0.07412493166611012, 0.06158463695989178, 0.05225370779338438]"
190,sustainable computing,"['lap fai craig yu', 'omoche cheche agada', 'hoda hassan', 'shima mohebbi', 'nora mcdonald', 'robert simon', 'quentin sanders', 'ilhan izmirli', 'md tanvir arafin', 'zoran duric']","[0.16984155512168939, 0.10544512713012867, 0.1040726808537592, 0.0973100927453325, 0.09409811314590939, 0.08869685939836239, 0.08782786991173896, 0.08584797978606536, 0.08492077756084469, 0.08158924398306319]"
191,statistics,"['ilhan izmirli', 'david lattanzi', 'omoche cheche agada', 'kenneth pasiah', 'mohamed ibrahem', 'shima mohebbi', 'zhi tian', 'nora mcdonald', 'kuochu chang', 'wenying ji']","[0.15476464650682734, 0.07495316889958614, 0.07241672621247579, 0.07124704998790965, 0.07071067811865475, 0.06497343129878753, 0.05919040043371478, 0.056545928645331395, 0.044963010657085495, 0.04444444444444444]"
192,spatio temporal data,"['filipe veiga', 'david binning', 'gregory stein', 'zhi tian', 'kuochu chang', 'david kepplinger', 'kenneth pasiah', 'shanjiang zhu', 'hoda hassan', 'quentin sanders']","[0.13837048134518593, 0.1311197323062278, 0.12828376712808895, 0.12694681711789368, 0.1237557528425353, 0.12202383114084503, 0.11884829505219277, 0.11584134114281931, 0.11177545850247396, 0.11004969866095207]"
193,blockchain,"['giacomo francisci', 'jason goldberg', 'saad karamat', 'ana gonzalez hernandez', 'jana kosecka', 'erion plaku', 'fang yi yu', 'haikun huang', 'lannan lisa luo', 'maha shamseddine']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
194,security,"['mohamed ibrahem', 'filipe veiga', 'peggy brouse', 'maryam parsa', 'quentin sanders', 'pei dong', 'sai manoj pudukotai dinakarrao', 'kuochu chang', 'hoda hassan', 'kenneth pasiah']","[0.19611613513818404, 0.09202497283106868, 0.09058216273156766, 0.07725393039369072, 0.0731898915931158, 0.06776741475716973, 0.06738873712008173, 0.06734067525277845, 0.05947010334500526, 0.059281128913143286]"
195,nanoindentation scratch,"['david lattanzi', 'david binning', 'ilhan izmirli', 'zoran duric', 'pilgyu kang', 'kenneth pasiah', 'robert simon', 'sean luke', 'quentin sanders', 'david kepplinger']","[0.10709826073836831, 0.10502100630210075, 0.10267140383606656, 0.10008009612817947, 0.09860132971832694, 0.08725945907447255, 0.08703882797784893, 0.08660254037844388, 0.08618608271771436, 0.08361823444931192]"
196,surface engineering,"['pilgyu kang', 'nora mcdonald', 'ilhan izmirli', 'kuochu chang', 'david lattanzi', 'david kepplinger', 'md tanvir arafin', 'david binning', 'zoran duric', 'zhi tian']","[0.1564921592871903, 0.11754793666687523, 0.11699107611482465, 0.11216317614422965, 0.10387532827284679, 0.10322058954755538, 0.10286889997472794, 0.10083169033033666, 0.09883324222148016, 0.09268345524384143]"
197,tribology,"['pilgyu kang', 'quentin sanders', 'wenying ji', 'sai manoj pudukotai dinakarrao', 'lap fai craig yu', 'jyh ming lien', 'david kepplinger', 'david binning', 'peggy brouse', 'kuochu chang']","[0.1543033499620919, 0.1416181849424949, 0.11925695879998878, 0.10866107359888659, 0.09128709291752769, 0.08032193289024989, 0.07851358838853206, 0.07669649888473705, 0.07302967433402215, 0.07238905077764926]"
198,high temperature materials,"['wenying ji', 'david lattanzi', 'sara lynn gopalkrishna', 'sai manoj pudukotai dinakarrao', 'nathalia peixoto', 'mohamed ibrahem', 'zoran duric', 'sean luke', 'david binning', 'filipe veiga']","[0.11547005383792514, 0.10385815737789969, 0.09525793444156803, 0.06813640936477719, 0.0598764159346999, 0.05715476066494082, 0.05661385170722978, 0.04898979485566356, 0.04620688533891146, 0.04469855997698706]"
199,evolutionary algorithms,"['maryam parsa', 'hoda hassan', 'zhi tian', 'giacomo francisci', 'david kepplinger', 'ilhan izmirli', 'jason goldberg', 'kenneth pasiah', 'saad karamat', 'ana gonzalez hernandez']","[0.035093120317179816, 0.020261022461827694, 0.01917588729182926, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
200,computational biology bioinformatics,"['lap fai craig yu', 'omoche cheche agada', 'zoran duric', 'hoda hassan', 'nora mcdonald', 'david kepplinger', 'robert simon', 'md tanvir arafin', 'ilhan izmirli', 'david lattanzi']","[0.19364916731037088, 0.10305080798590895, 0.09302605094190636, 0.08475793795260128, 0.08046626711787301, 0.07402332101976053, 0.0674199862463242, 0.06454972243679029, 0.061176098029049546, 0.04740454631399772]"
201,signaling pathways,"['jill nelson', 'zhi tian', 'paulo costa', 'maryam parsa', 'gregory stein', 'giacomo francisci', 'david kepplinger', 'ilhan izmirli', 'jason goldberg', 'kenneth pasiah']","[0.07559289460184544, 0.06417479348158527, 0.024655683636076897, 0.014680505487867587, 0.010808442529177923, 0.0, 0.0, 0.0, 0.0, 0.0]"
202,basal ganglia,"['nathalia peixoto', 'pilgyu kang', 'maryam parsa', 'david binning', 'jill nelson', 'jyh ming lien', 'ilhan izmirli', 'zhi tian', 'shanjiang zhu', 'kenneth pasiah']","[0.09737289911202952, 0.07126966450997983, 0.05993291268567301, 0.04428074427700476, 0.030860669992418377, 0.023186944788008413, 0.01998002995008734, 0.019649437297296478, 0.019125843684974896, 0.01839590920463876]"
203,computational neuroscience,"['lap fai craig yu', 'peggy brouse', 'shima mohebbi', 'md tanvir arafin', 'zoran duric', 'maryam parsa', 'sean luke', 'david binning', 'filipe veiga', 'kuochu chang']","[0.25000000000000006, 0.13333333333333336, 0.12732140281584609, 0.12500000000000003, 0.12009611535381537, 0.09476225544736294, 0.08660254037844387, 0.0700140042014005, 0.06772854614785964, 0.06608186004550899]"
204,expert systems,"['md tanvir arafin', 'david lattanzi', 'gregory stein', 'pilgyu kang', 'jyh ming lien', 'shima mohebbi', 'filipe veiga', 'kenneth pasiah', 'sai manoj pudukotai dinakarrao', 'lap fai craig yu']","[0.08068715304598786, 0.05925568289249716, 0.05404221264588961, 0.04364357804719848, 0.04259713756852986, 0.036983525454115346, 0.03497487083913345, 0.03379544317944998, 0.032929277996907105, 0.032274861218395144]"
205,human centered design,"['md tanvir arafin', 'david lattanzi', 'lap fai craig yu', 'gregory stein', 'shima mohebbi', 'ilhan izmirli', 'david kepplinger', 'pilgyu kang', 'kenneth pasiah', 'zoran duric']","[0.18042195912175807, 0.17666631333439334, 0.14433756729740646, 0.12084206113070797, 0.11945220005766044, 0.1185547252856596, 0.11724416755200213, 0.11385500851066221, 0.109155089736307, 0.10400628679223048]"
206,artifiicial intelligence,"['nora mcdonald', 'omoche cheche agada', 'sai manoj pudukotai dinakarrao', 'kuochu chang', 'hoda hassan', 'gregory stein', 'zhi tian', 'david binning', 'paulo costa', 'shima mohebbi']","[0.13850867221288876, 0.1330380210475479, 0.11336404025302715, 0.055068216704590826, 0.04376881095324086, 0.03488409826162173, 0.02589040691671667, 0.023338001400466834, 0.01591517535198076, 0.01591517535198076]"
207,big data,"['kenneth pasiah', 'kuochu chang', 'zoran duric', 'ilhan izmirli', 'robert simon', 'david kepplinger', 'david binning', 'nora mcdonald', 'omoche cheche agada', 'pilgyu kang']","[0.2879415244264045, 0.18690772540639913, 0.1698415551216894, 0.15636846806306962, 0.15386436372416593, 0.15204091013988436, 0.14852213144650117, 0.14691063206231755, 0.14110813025753963, 0.1394433377556793]"
208,learning analytics,"['ilhan izmirli', 'david lattanzi', 'filipe veiga', 'zoran duric', 'shima mohebbi', 'david binning', 'kenneth pasiah', 'mohamed ibrahem', 'quentin sanders', 'david kepplinger']","[0.10876579673549196, 0.08194002846764309, 0.07772785890031975, 0.07657048647896111, 0.07305944535894636, 0.0714228778674107, 0.0667615189204645, 0.06625891564490793, 0.06594028719715836, 0.06397564688682227]"
209,educational data mining,"['omoche cheche agada', 'jill nelson', 'kenneth pasiah', 'pilgyu kang', 'ilhan izmirli', 'nora mcdonald', 'pei dong', 'sai manoj pudukotai dinakarrao', 'kuochu chang', 'robert simon']","[0.0982550902060951, 0.0900937462695559, 0.08592717535621511, 0.0832250378576479, 0.08166076915740766, 0.07672157539313468, 0.07367094686837573, 0.07325928087547758, 0.07320703211720368, 0.06428243465332249]"
210,databases,"['nora mcdonald', 'omoche cheche agada', 'sai manoj pudukotai dinakarrao', 'kuochu chang', 'hoda hassan', 'zhi tian', 'giacomo francisci', 'david kepplinger', 'ilhan izmirli', 'jason goldberg']","[0.11995202878081342, 0.11521430589638529, 0.09817613873476318, 0.038152379685825785, 0.03790490217894517, 0.035874800166708756, 0.0, 0.0, 0.0, 0.0]"
211,intelligence analysis,"['nora mcdonald', 'omoche cheche agada', 'shanjiang zhu', 'zhi tian', 'david kepplinger', 'ilhan izmirli', 'kuochu chang', 'peggy brouse', 'david binning', 'filipe veiga']","[0.17313584026611095, 0.16260202572478075, 0.16128327524498293, 0.1553424415003, 0.1513091861463739, 0.1474256055081981, 0.13583493453799067, 0.13333333333333333, 0.12446934080248975, 0.12040630426286159]"
212,computer science education,"['mohamed ibrahem', 'omoche cheche agada', 'sara lynn gopalkrishna', 'pei dong', 'quentin sanders', 'sai manoj pudukotai dinakarrao', 'nathalia peixoto', 'filipe veiga', 'shima mohebbi', 'ilhan izmirli']","[0.09363821838346235, 0.08500000628698295, 0.07803184865288529, 0.07353736389924106, 0.06353722314613788, 0.06267980944698306, 0.06242547892230823, 0.05991617598940588, 0.05631755007466192, 0.05589442199172577]"
213,evidence based reasoning,"['david binning', 'david lattanzi', 'pilgyu kang', 'kenneth pasiah', 'ilhan izmirli', 'david kepplinger', 'shanjiang zhu', 'zoran duric', 'filipe veiga', 'shima mohebbi']","[0.16169041669088866, 0.158999682000954, 0.14638501094227999, 0.14106196212076597, 0.12037864413620819, 0.10758876551830784, 0.09951873216699558, 0.0970725343394151, 0.09384742644069301, 0.09372403389139511]"
214,rapid prototyping,"['david lattanzi', 'pei dong', 'sara lynn gopalkrishna', 'ilhan izmirli', 'wenying ji', 'david kepplinger', 'filipe veiga', 'omoche cheche agada', 'nathalia peixoto', 'maryam parsa']","[0.06119900613621046, 0.04987546680538165, 0.04811252243246882, 0.031591201180328175, 0.027216552697590872, 0.023890924128374832, 0.022576182049286547, 0.022173003507924647, 0.01924500897298753, 0.018952451089472588]"
215,personalized learning,"['ilhan izmirli', 'david lattanzi', 'filipe veiga', 'zoran duric', 'shima mohebbi', 'david binning', 'kenneth pasiah', 'mohamed ibrahem', 'quentin sanders', 'david kepplinger']","[0.11054617607630525, 0.0963683600137536, 0.07110016246405684, 0.07004147683506573, 0.06682981505018147, 0.06533279434000337, 0.06106889998963685, 0.060609152673132646, 0.060317693025058225, 0.058520573598065284]"
216,decision optimization,"['lap fai craig yu', 'gregory stein', 'paulo costa', 'ilhan izmirli', 'david lattanzi', 'shima mohebbi', 'sai manoj pudukotai dinakarrao', 'giacomo francisci', 'david kepplinger', 'jason goldberg']","[0.07216878364870323, 0.03625261833921238, 0.02756589232099856, 0.027358782758229137, 0.026499947000158997, 0.01378294616049928, 0.012272017341845397, 0.0, 0.0, 0.0]"
217,constraints databases,"['filipe veiga', 'sai manoj pudukotai dinakarrao', 'jyh ming lien', 'nora mcdonald', 'omoche cheche agada', 'david binning', 'hoda hassan', 'peggy brouse', 'kuochu chang', 'paulo costa']","[0.07139215614635322, 0.05377328579378649, 0.046373889576016826, 0.043800287987840275, 0.04207031619116713, 0.029520496184669842, 0.02768182661791332, 0.021081851067789193, 0.020896918976428643, 0.020131281389292467]"
218,decision support,"['kenneth pasiah', 'ilhan izmirli', 'nora mcdonald', 'david lattanzi', 'shima mohebbi', 'wenying ji', 'zoran duric', 'paulo costa', 'david binning', 'kuochu chang']","[0.09404254467699953, 0.09035532193915621, 0.08612053770593475, 0.07610341260680724, 0.07520639770746812, 0.0744587187764654, 0.06969401800668362, 0.06728993479089253, 0.06384782460843887, 0.06026198698546463]"
219,decision guidance,"['robert simon', 'gregory stein', 'lap fai craig yu', 'paulo costa', 'wenying ji', 'nora mcdonald', 'shima mohebbi', 'ilhan izmirli', 'david lattanzi', 'sara lynn gopalkrishna']","[0.04652421051992354, 0.044751203637101125, 0.044543540318737404, 0.034028076238595065, 0.02909571869813232, 0.018508999875628776, 0.017014038119297532, 0.01688620732191951, 0.016356122383769687, 0.012858612496840994]"
220,computer science,"['mohamed ibrahem', 'filipe veiga', 'zhi tian', 'jill nelson', 'omoche cheche agada', 'maryam parsa', 'kuochu chang', 'sai manoj pudukotai dinakarrao', 'hoda hassan', 'nathalia peixoto']","[0.08164965809277261, 0.0638550856814101, 0.04393747751637468, 0.03450327796711772, 0.03135736227945325, 0.026802813370944874, 0.02336346567579989, 0.02004012040140506, 0.015474611514754323, 0.013608276348795436]"
221,blood flow,"['david binning', 'pei dong', 'jyh ming lien', 'gregory stein', 'shima mohebbi', 'ilhan izmirli', 'zhi tian', 'jill nelson', 'robert simon', 'zoran duric']","[0.1109187107743604, 0.07407610636824496, 0.06534102628035482, 0.04144848501924195, 0.03782009224993602, 0.0375359402740605, 0.03076238735430396, 0.02898855178262242, 0.025854384499750954, 0.023782574707724706]"
222,biomechanics,"['giacomo francisci', 'jason goldberg', 'saad karamat', 'ana gonzalez hernandez', 'jana kosecka', 'erion plaku', 'fang yi yu', 'haikun huang', 'lannan lisa luo', 'maha shamseddine']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
223,aneurysms,"['paulo costa', 'giacomo francisci', 'david kepplinger', 'ilhan izmirli', 'jason goldberg', 'kenneth pasiah', 'saad karamat', 'ana gonzalez hernandez', 'jana kosecka', 'robert simon']","[0.038984058779272523, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
224,computer games technology,"['mohamed ibrahem', 'omoche cheche agada', 'filipe veiga', 'lap fai craig yu', 'shima mohebbi', 'jill nelson', 'maryam parsa', 'kenneth pasiah', 'pilgyu kang', 'hoda hassan']","[0.09284766908852593, 0.09271062448380879, 0.08713514794975243, 0.08040844011283461, 0.07678286545050038, 0.07062354231461375, 0.06705322925044846, 0.06548637189983528, 0.0634270329256156, 0.06334887265818563]"
225,medical imaging,"['ilhan izmirli', 'david lattanzi', 'zoran duric', 'david binning', 'sean luke', 'shanjiang zhu', 'nora mcdonald', 'quentin sanders', 'david kepplinger', 'wenying ji']","[0.18613166233298414, 0.18028869304837586, 0.15724272550828777, 0.1375047745542317, 0.1322875655532295, 0.11878277418329972, 0.11334401336131951, 0.11284407083018609, 0.10948196824072454, 0.10690449676496976]"
226,graphics,"['lap fai craig yu', 'zoran duric', 'md tanvir arafin', 'hoda hassan', 'filipe veiga', 'omoche cheche agada', 'robert simon', 'maryam parsa', 'jyh ming lien', 'david lattanzi']","[0.3061862178478973, 0.14708710135363803, 0.10206207261596577, 0.0804084401128346, 0.0553001263609331, 0.054312544659356844, 0.053300179088902604, 0.046423834544262965, 0.04490132550669373, 0.03747658444979307]"
227,mobile computing,"['lap fai craig yu', 'shanjiang zhu', 'robert simon', 'ilhan izmirli', 'omoche cheche agada', 'hoda hassan', 'zoran duric', 'shima mohebbi', 'filipe veiga', 'quentin sanders']","[0.10660035817780524, 0.09670980886427658, 0.0927837023781507, 0.08082320066616207, 0.07563680370631996, 0.0746523347941139, 0.0682788741998919, 0.06786253571934904, 0.06738561459675592, 0.06431227101355208]"
228,computer networks,"['peggy brouse', 'shima mohebbi', 'mohamed ibrahem', 'pilgyu kang', 'david binning', 'filipe veiga', 'zhi tian', 'maryam parsa', 'kuochu chang', 'nathalia peixoto']","[0.16329931618554522, 0.1559362351170901, 0.10606601717798213, 0.08625819491779428, 0.08574929257125442, 0.08295018954139965, 0.08244377203267415, 0.08124171045246019, 0.08093341918275389, 0.07071067811865475]"
