names,ProfileLinks,topics,citations,titles
Masoud Yasai,https://scholar.google.com//citations?hl=en&user=Ez4RWzYAAAAJ,,5101,gmu
Kai Zeng,https://scholar.google.com//citations?hl=en&user=ErabYRMAAAAJ,"5G wireless security, CPS/IoT security and privacy, physical layer security, spectrum sharing, machine learning",5097,"Associate Professor of Electrical and Computer Engineering, George Mason University"
Janine Wedel,https://scholar.google.com//citations?hl=en&user=-igJ4bwAAAAJ,,5005,George mason university
Elizabeth DeMulder,https://scholar.google.com//citations?hl=en&user=LBemS0oAAAAJ,"early childhood education, teacher education, critical pedagogy",4981,"Professor of Education, George Mason University"
Qiliang Li,https://scholar.google.com//citations?hl=en&user=D7ccRiIAAAAJ,"Nanotechnology, Sensors, Advanced Manufacturing, Intelligent Robotics, Power Engineering",4920,"Professor, Dept. of Electrical and Computer Engineering, George Mason University; Scientist …"
Keith D. Renshaw,https://scholar.google.com//citations?hl=en&user=HyhRPaAAAAAJ,"PTSD, Couples, Military, Anxiety, Relationships",4908,"Chair & Professor, George Mason University"
Jennifer Leeman,https://scholar.google.com//citations?hl=en&user=rRzmQmcAAAAJ,"Spanish in the US, Spanish as a heritage language, Heritage language education, Spanish in the United States",4851,"Professor of Spanish Linguistics, George Mason University"
Ewart J. de Visser,https://scholar.google.com//citations?hl=en&user=PdYLL2QAAAAJ,"Human Factors, Trust, Human-Robot Interaction, Neuroergonomics, Artificial Intelligence",4790,"US Air Force Academy, George Mason University, Drexel University"
Y. Alicia Hong,https://scholar.google.com//citations?hl=en&user=AivbJ9EAAAAJ,"digital behavioral intervention, chronic self-care, caregiving, patient-provider communication",4764,"Professor of Health Administration and Policy, George Mason University"
Kimberly M Sheridan,https://scholar.google.com//citations?hl=en&user=OUbrOXcAAAAJ,"design-based learning, informal learning environments, constructionism, art education, maker education",4757,"Associate Professor of Education, George Mason University"
Esther C Peters,https://scholar.google.com//citations?hl=en&user=PtIWIjIAAAAJ,"Aquatic Toxicology, Pathobiology, Comparative Histopathology",4748,"Term Associate Professor, Environmental Science & Policy, George Mason University"
Zoran Duric,https://scholar.google.com//citations?hl=en&user=bVaZTY4AAAAJ,"Computer Vision, Information Hiding, Study and Simulation of Human Movement",4637,George Mason University
Lauren Cattaneo,https://scholar.google.com//citations?hl=en&user=suR2J5cAAAAJ,"intimate partner violence, empowerment, survivor-centered services, service learning, civic engagement",4630,George Mason University
Amihai (Ami) Motro,https://scholar.google.com//citations?hl=en&user=YPhI-YsAAAAJ,"Databases, data integration, cooperative databases, virtual enterprises, service oriented architectures",4628,"Professor of Computer Science, George Mason University"
Jinshan Tang,https://scholar.google.com//citations?hl=en&user=1NYKwIwAAAAJ,"Machine learning, Deep learning, Data Mining, Image processing, Intelligent medical systems",4602,George Mason University
Timothy DelSole,https://scholar.google.com//citations?hl=en&user=rCWcKowAAAAJ,"climate science, predictability",4580,George Mason University
Xiaoquan Zhao,https://scholar.google.com//citations?hl=en&user=K-uFVHwAAAAJ,"Health Communication, Persuasion, Public Communication Campaigns, Tobacco Control, Climate Change",4519,George Mason University
Terrence Lyons,https://scholar.google.com//citations?hl=en&user=AwfMEvwAAAAJ,,4491,George Mason University
Mark D. Uhen,https://scholar.google.com//citations?hl=en&user=khuSBkQAAAAJ,Marine mammal paleontology,4436,George Mason University
David Walnut,https://scholar.google.com//citations?hl=en&user=VfyIZrMAAAAJ,Harmonic Analysis,4427,"Mathematical Sciences, George Mason University"
Daniel M Anderson,https://scholar.google.com//citations?hl=en&user=cX1J2EwAAAAJ,,4422,"Department of Mathematical Sciences, George Mason University"
Brian L. Mark,https://scholar.google.com//citations?hl=en&user=RgyjYZgAAAAJ,"Communication Networks, Wireless Communications, Computer and Network Security, Stochastic Models, Statistical Signal Processing",4399,"Professor of Electrical and Computer Engineering, George Mason University"
Alexander Levis,https://scholar.google.com//citations?hl=en&user=BOGHk7ygkzsC,"System Architectures, Multi-formalism modeling and simulation",4396,"University professor of Electrical, Computer and Systems Engineering, George Mason …"
John Stufken,https://scholar.google.com//citations?hl=en&user=qrWcLn8AAAAJ,"Design and Analysis of Experiments, Big Data",4394,George Mason University
Sue-Ming Yang,https://scholar.google.com//citations?hl=en&user=LYfxqowAAAAJ,"Criminology, Community, Experiment, Crime and Place, and Terrorism",4373,George Mason University
Kun Sun,https://scholar.google.com//citations?hl=en&user=u18hG4gAAAAJ,Systems and network security,4355,George Mason University
Aditya Johri,https://scholar.google.com//citations?hl=en&user=Mv2dCeEAAAAJ,"Engineering Education Research, Computing Education Research, Technology Ethics, Engineering Ethics",4322,"Professor, Info Sciences & Tech, College of Engineering & Computing, George Mason …"
Peter Jacobs,https://scholar.google.com//citations?hl=en&user=rvXLyXUAAAAJ,"Climate Change, Paleoclimate, Climate Impacts, Marine Ecosystems, Science Communciation",4305,George Mason University
Alex Tabarrok,https://scholar.google.com//citations?hl=en&user=3syuONQAAAAJ,"Economics, law and economics, public choice",4283,"Economics, George Mason University"
John J. Qu,https://scholar.google.com//citations?hl=en&user=wJ5lWMQAAAAJ,,4226,"Professor of College of Science, George Mason University"
Ruta Aidis,https://scholar.google.com//citations?hl=en&user=4FNarCIAAAAJ,"Entrepreneurship, Institutions, Gender",4206,"Senior Fellow, George Mason University"
Daniel Tong,https://scholar.google.com//citations?hl=en&user=Sy1vx10AAAAJ,"Air Quality, Remote Sensing, Climate Analysis",4195,George Mason University
Mulpuri V Rao,https://scholar.google.com//citations?hl=en&user=LN2G-3YAAAAJ,"SiC, GaN, HgCdT",4190,George Mason University
Ilya Somin,https://scholar.google.com//citations?hl=en&user=Iw-VmJQAAAAJ,"Constitutional law, property, democratic theory, political ignorance, federalism",4180,"Professor of Law, George Mason University"
Jered Borup,https://scholar.google.com//citations?hl=en&user=PGs7TacAAAAJ,"K-12 online learning, K-12 distance education, online learning communities, online learning, social presence",4120,George Mason University
Alexei V. Samsonovich,https://scholar.google.com//citations?hl=en&user=AIvKvXcAAAAJ,"cognitive architectures, semantic mapping",4109,George Mason University
Fernando Miralles-Wilhelm,https://scholar.google.com//citations?hl=en&user=v-OIaVoAAAAJ,"Water Resources, Climate Change, System Dynamics Modeling, International Development",4096,"George Mason University, The Nature Conservancy"
Virgil Storr,https://scholar.google.com//citations?hl=en&user=hFsqYNcAAAAJ,"economic sociology, markets and morality, culture and economic activity, disaster, Austrian economics",4079,"George Mason University, Department of Economics"
Fereshte Ghahari,https://scholar.google.com//citations?hl=en&user=WN28mBoAAAAJ,,4064,"Assistant Professor of Physics, George Mason University"
Matthew Peterson,https://scholar.google.com//citations?hl=en&user=1eS_2TAAAAAJ,"Attention, Working Memory, Vision, Cognitive Neuroscience, Eye Movements",4061,"Professor of Psychology and Neuroscience, George Mason University"
Maury Peiperl,https://scholar.google.com//citations?hl=en&user=1_Y7OaAAAAAJ,"Careers, Change, Global Mobility, Leadership",4058,George Mason University
Vikas Chandhoke,https://scholar.google.com//citations?hl=en&user=eYcAM-sAAAAJ,"systems biology, neurobiology, metabolomics",4050,George Mason University
Susan Conard,https://scholar.google.com//citations?hl=en&user=XnC1ChsAAAAJ,"Wildland Fire, Climate Change, Carbon dynamics, Remote Sensing, Fire effects",4025,"Affiliate Faculty, George Mason University; Emeritus Ecologist, US Forest Service, editor"
David E Bernstein,https://scholar.google.com//citations?hl=en&user=gL4XYNIAAAAJ,"Constitutional History, Expert Evidence",3997,"School of Law, George Mason University"
Shobita Satyapal,https://scholar.google.com//citations?hl=en&user=021NZCEAAAAJ,astrophysics,3997,George Mason University
Nadine Kabbani,https://scholar.google.com//citations?hl=en&user=Aip4aXEAAAAJ,,3996,George Mason University
Claus Langfred,https://scholar.google.com//citations?hl=en&user=1GkoKsEAAAAJ,"Autonomy, Trust, Team Dynamics & Design, Motivation",3982,"Associate Professor of Management, George Mason University"
Fernando Mut,https://scholar.google.com//citations?hl=en&user=UI4ScCkAAAAJ,"Computational Fluid Dynamics, Finite Elements, High Performance Computing, Mesh Generation",3886,"Research Assistant Professor, George Mason University"
Kevin Rockmann,https://scholar.google.com//citations?hl=en&user=9jDbAnMAAAAJ,"relationships, identity, social dilemmas, remote work",3878,"Professor of Management, George Mason University"
Matthew A. Cronin,https://scholar.google.com//citations?hl=en&user=5hVxoXwAAAAJ,"Creativity, Conflict, System Dynamics, Philosophy of Science",3850,"Associate professor, Management, George Mason University"
Parth Pathak,https://scholar.google.com//citations?hl=en&user=VP4egzMAAAAJ,"Wireless networking, Mobile Computing, Ubiquitous Computing",3827,"Associate Professor, Computer Science Department, George Mason University"
Ariela Sofer,https://scholar.google.com//citations?hl=en&user=pHJbqawAAAAJ,,3805,George Mason University
Deborah Boehm-Davis,https://scholar.google.com//citations?hl=en&user=_4sIuZoAAAAJ,"Human Factors, Transportation, Human-Computer Interaction, Medical Human Factors",3798,"University Professor Emeritus, George Mason"
Anastasia Pantelides Samaras,https://scholar.google.com//citations?hl=en&user=lA-y5AgAAAAJ,"self-study methodology, adjunct faculty, faculty professional development, qualitative research",3788,"George Mason University, VA, USA"
James P. Pfiffner,https://scholar.google.com//citations?hl=en&user=nys1u8EAAAAJ,"presidency, public administration, American national government",3773,"Professor of Public Policy, George Mason University"
Mark J. Rozell,https://scholar.google.com//citations?hl=en&user=bW3HMhYAAAAJ,Political Science,3751,George Mason University
Kenneth Reinert,https://scholar.google.com//citations?hl=en&user=hnw_w5wAAAAJ,"Trade Policy, Globalization, Development",3749,"Professor of Public Policy, George Mason Univesity"
Alison Landsberg,https://scholar.google.com//citations?hl=en&user=9GtFU7sAAAAJ,,3736,George Mason University
Siddhartha Sikdar,https://scholar.google.com//citations?hl=en&user=a6h285MAAAAJ,"Ultrasound, engineering, medicine, biology",3717,"University of Washington, George mason university"
Jyh-Ming Lien,https://scholar.google.com//citations?hl=en&user=EnrEVb0AAAAJ,"Computational Geometry, Computer Graphics, Robotics, Geomtric Processing, GIS",3686,George Mason University
Arie Croitoru,https://scholar.google.com//citations?hl=en&user=t2kPvicAAAAJ,"Geoinformatics, Social Media, Open-Source Data",3664,"Professor, George Mason University"
Roger Lancaster,https://scholar.google.com//citations?hl=en&user=T7wQ9IkAAAAJ,"gender, sexuality, political economy, LGBT studies",3658,"Professor of Anthropology and Cultural Studies, George Mason University"
Gregory Foster,https://scholar.google.com//citations?hl=en&user=LJPCH5wAAAAJ,Environmental Chemistry,3643,George Mason University
David M. Straus,https://scholar.google.com//citations?hl=en&user=BKs7wAgAAAAJ,"Atmospheric Circulation, Geophysical Turbulence",3568,"Professor of Climate Dynamics, George Mason University"
Sheri Berkeley,https://scholar.google.com//citations?hl=en&user=CtPlnOAAAAAJ,,3558,"Professor, George Mason University"
Julie E. Owen,https://scholar.google.com//citations?hl=en&user=EVOze_UAAAAJ,"socially-responsible leadership, civic engagement, SOTL",3481,"Associate Professor, George Mason University"
Jianli Pan,https://scholar.google.com//citations?hl=en&user=l9QQeHgAAAAJ,"Internet of Things (IoT), Edge/Cloud Computing, AI/Machine Learning, Cybersecurity, Blockchain",3469,"Associate Professor, George Mason University"
Jan Allbeck,https://scholar.google.com//citations?hl=en&user=GF-eRaMAAAAJ,Virtual Humans,3454,George Mason University
George  HK Wang,https://scholar.google.com//citations?hl=en&user=PC2nkZQAAAAJ,"finance, statistics, econometrices, time series, derivatives Transportation",3449,"George Mason University, former Research Professor of Finance(retired June1 2019)"
Ossama “Sam” Salem,https://scholar.google.com//citations?hl=en&user=zNtfT2YAAAAJ,"Construction Engineering and Management, Construction Engineering, Construction Management, Infrastructure Asset Management, Sus",3442,"Professor and Department Chair, George Mason University"
Karla Hoffman,https://scholar.google.com//citations?hl=en&user=Emobl-IAAAAJ,Operations Research,3372,George Mason University
ThanhVu H. Nguyen,https://scholar.google.com//citations?hl=en&user=TLcVQ-MAAAAJ,"Software Engineering, Program Analysis, Testing and Verification",3371,"Computer Science, George Mason University"
