names,ProfileLinks,topics,citations,titles
Carl Pasurka,https://scholar.google.com//citations?hl=en&user=tL3LK24AAAAJ,,6862,"Schar School of Policy and Government, George Mason University"
Carlotta Domeniconi,https://scholar.google.com//citations?hl=en&user=aKkIMogAAAAJ,"machine learning, data mining, clustering, classification, ensemble methods",6856,"Associate Professor of Computer Science, George Mason University"
James Lawrey,https://scholar.google.com//citations?hl=en&user=JytHx-YAAAAJ,Mycology,6848,"Professor of Biology, George Mason University"
Songqing Chen,https://scholar.google.com//citations?hl=en&user=T7IRM8EAAAAJ,"distributed system, networking, security",6829,George Mason University
Charles L. Bailey,https://scholar.google.com//citations?hl=en&user=U35Y3ZUAAAAJ,,6805,"School of Systems Biology, George Mason University"
Bryan Caplan,https://scholar.google.com//citations?hl=en&user=EeYe2EAAAAAJ,"Political economy, Psychology and Economics, Public Opinion, Economics of the Family, Economics of Education",6783,"Professor of Economics, George Mason University"
Linda H Mason,https://scholar.google.com//citations?hl=en&user=fbwHSNEAAAAJ,,6723,George Mason University
Chaowei Phil Yang,https://scholar.google.com//citations?hl=en&user=MS63kuwAAAAJ,"GIScience, spatiotemporal computing, GeoAI, spatial cloud computing, big spatiotemporal data",6708,"Professor of GIScience, George Mason University"
Dieter Pfoser,https://scholar.google.com//citations?hl=en&user=6pDpqQwAAAAJ,"spatiotemporal databases, geospatial data, geoinformatics, user-generated content",6700,George Mason University
Dmitri Klimov,https://scholar.google.com//citations?hl=en&user=PEep5v8AAAAJ,Biomolecular sinulations,6687,"Professor, George Mason University"
Konrad Wessels,https://scholar.google.com//citations?hl=en&user=VzAabuEAAAAJ,"Environmental Remote Sensing, Natural Resource Management, Land Cover Change",6599,"George Mason University, Geography and GeoInformation Science"
Christianne Esposito-Smythers,https://scholar.google.com//citations?hl=en&user=BqNFZ9QAAAAJ,"adolescent suicide, adolescent substance abuse, adolescent high risk behavior",6500,"Professor, George Mason University"
Donald Seto,https://scholar.google.com//citations?hl=en&user=9UKgfQwAAAAJ,"adenovirus, genomics and bioinformatics, molecular evolution, zoonosis",6430,"Professor, George Mason University"
"Claudio Cioffi-Revilla, Ph.D., D.Pol.Sc.",https://scholar.google.com//citations?hl=en&user=OsPUZ7oAAAAJ,"Applied Mathematics, Complexity Science, Agent-based models, Disasters, Conflict",6328,"Fellow AAAS and NAS; University Professor Emeritus, George Mason University"
James Gentle,https://scholar.google.com//citations?hl=en&user=PoY_tDIAAAAJ,"computational statistics, statistical learning, machine learning, computational finance",6283,"Professor of Computational Statistics, George Mason University"
Bo Han,https://scholar.google.com//citations?hl=en&user=BhRa314AAAAJ,"Networked Systems, Mobile Computing, Wireless Networking",6267,George Mason University
Michael S. Bloom,https://scholar.google.com//citations?hl=en&user=1dm810wAAAAJ,"Environmental Epidemiology, Reproduction, fetal development, Endocrine Disruption",6261,George Mason University
Denise Hines,https://scholar.google.com//citations?hl=en&user=rDfIlQUAAAAJ,interpersonal aggression,6246,George Mason University
Duminda Wijesekera,https://scholar.google.com//citations?hl=en&user=mL6lVzIAAAAJ,"Policies, security, railroads",6191,George mason University
